title,price,rating,availability
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True
Princess Between Worlds (Wide-Awake Princess #5),13.61,5,True
"Pop Gun War, Volume 1: Gift",13.61,1,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",13.61,2,True
Patience,13.61,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",13.61,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),13.61,1,True
Online Marketing for Busy Authors: A Step-By-Step Guide,13.61,1,True
On a Midnight Clear,13.61,3,True
Obsidian (Lux #1),13.61,2,True
My Paris Kitchen: Recipes and Stories,13.61,2,True
Masks and Shadows,13.61,2,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",13.61,4,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",13.61,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",13.61,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),13.61,2,True
"Layered: Baking, Building, and Styling Spectacular Cakes",13.61,1,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),13.61,2,True
Join,13.61,5,True
In the Country We Love: My Family Divided,13.61,4,True
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",57.36,2,True
I am a Hero Omnibus Volume 1,57.36,3,True
How to Be Miserable: 40 Strategies You Already Use,57.36,1,True
Her Backup Boyfriend (The Sorensen Family #1),57.36,1,True
"Giant Days, Vol. 2 (Giant Days #5-8)",57.36,2,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,57.36,3,True
First and First (Five Boroughs #3),57.36,4,True
Fifty Shades Darker (Fifty Shades #2),57.36,1,True
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,57.36,2,True
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",57.36,2,True
Danganronpa Volume 1,57.36,4,True
Crown of Midnight (Throne of Glass #2),57.36,3,True
"Codename Baboushka, Volume 1: The Conclave of Death",57.36,4,True
Camp Midnight,57.36,4,True
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,57.36,5,True
Burning,57.36,3,True
Bossypants,57.36,2,True
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",57.36,2,True
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",57.36,2,True
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True
A World of Flavor: Your Gluten Free Passport,30.81,1,True
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",30.81,5,True
A Murder in Time,30.81,1,True
A Flight of Arrows (The Pathfinders #2),30.81,5,True
A Fierce and Subtle Poison,30.81,4,True
A Court of Thorns and Roses (A Court of Thorns and Roses #1),30.81,1,True
(Un)Qualified: How God Uses Broken People to Do Big Things,30.81,5,True
You Are What You Love: The Spiritual Power of Habit,30.81,4,True
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",30.81,4,True
Tuesday Nights in 1980,30.81,2,True
Tracing Numbers on a Train,30.81,3,True
Throne of Glass (Throne of Glass #1),30.81,3,True
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,30.81,1,True
Thirteen Reasons Why,30.81,1,True
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,30.81,4,True
The Wedding Dress,30.81,1,True
The Vacationers,30.81,4,True
The Third Wave: An Entrepreneur’s Vision of the Future,30.81,5,True
The Stranger,30.81,4,True
The Shadow Hero (The Shadow Hero),33.14,1,True
The Secret (The Secret #1),33.14,4,True
The Regional Office Is Under Attack!,33.14,5,True
The Psychopath Test: A Journey Through the Madness Industry,33.14,2,True
The Project,33.14,1,True
The Power of Now: A Guide to Spiritual Enlightenment,33.14,2,True
The Omnivore's Dilemma: A Natural History of Four Meals,33.14,2,True
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,33.14,5,True
The Murder of Roger Ackroyd (Hercule Poirot #4),33.14,4,True
The Mistake (Off-Campus #2),33.14,3,True
The Matchmaker's Playbook (Wingmen Inc. #1),33.14,1,True
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,33.14,2,True
The Long Shadow of Small Ghosts: Murder and Memory in an American City,33.14,1,True
The Kite Runner,33.14,4,True
The House by the Lake,33.14,1,True
The Glittering Court (The Glittering Court #1),33.14,1,True
The Girl on the Train,33.14,2,True
The Genius of Birds,33.14,1,True
The Emerald Mystery,33.14,2,True
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,33.14,1,True
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,True
The Artist's Way: A Spiritual Path to Higher Creativity,32.0,5,True
The Art of War,32.0,5,True
The Argonauts,32.0,2,True
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,32.0,3,True
Suddenly in Love (Lake Haven #1),32.0,2,True
Something More Than This,32.0,4,True
Soft Apocalypse,32.0,2,True
So You've Been Publicly Shamed,32.0,2,True
Shoe Dog: A Memoir by the Creator of NIKE,32.0,2,True
"Shobu Samurai, Project Aryoku (#3)",32.0,3,True
Secrets and Lace (Fatal Hearts #1),32.0,1,True
Scarlett Epstein Hates It Here,32.0,5,True
Romero and Juliet: A Tragic Tale of Love and Zombies,32.0,1,True
Redeeming Love,32.0,5,True
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,32.0,1,True
Poems That Make Grown Women Cry,32.0,4,True
"Nightingale, Sing",32.0,1,True
Night Sky with Exit Wounds,32.0,1,True
Mrs. Houdini,32.0,5,True
Modern Romance,28.26,5,True
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),28.26,1,True
Louisa: The Extraordinary Life of Mrs. Adams,28.26,2,True
Little Red,28.26,3,True
Library of Souls (Miss Peregrine’s Peculiar Children #3),28.26,5,True
Large Print Heart of the Pride,28.26,2,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,28.26,4,True
Hollow City (Miss Peregrine’s Peculiar Children #2),28.26,1,True
Grumbles,28.26,2,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,28.26,4,True
Frostbite (Vampire Academy #2),28.26,5,True
Follow You Home,28.26,1,True
First Steps for New Christians (Print Edition),28.26,1,True
Finders Keepers (Bill Hodges Trilogy #2),28.26,5,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",28.26,4,True
Eureka Trivia 6.0,28.26,4,True
Drive: The Surprising Truth About What Motivates Us,28.26,4,True
Done Rubbed Out (Reightman & Bailey #1),28.26,5,True
Doing It Over (Most Likely To #1),28.26,3,True
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",28.26,3,True
Dark Notes,19.19,5,True
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.19,3,True
Close to You,19.19,4,True
Chasing Heaven: What Dying Taught Me About Living,19.19,2,True
Big Magic: Creative Living Beyond Fear,19.19,3,True
Becoming Wise: An Inquiry into the Mystery and Art of Living,19.19,2,True
Beauty Restored (Riley Family Legacy Novellas #3),19.19,2,True
Batman: The Long Halloween (Batman),19.19,2,True
Batman: The Dark Knight Returns (Batman),19.19,5,True
Ayumi's Violin,19.19,2,True
Anonymous,19.19,4,True
Amy Meets the Saints and Sages,19.19,3,True
Amid the Chaos,19.19,1,True
Amatus,19.19,5,True
Agnostic: A Spirited Manifesto,19.19,5,True
Zealot: The Life and Times of Jesus of Nazareth,19.19,3,True
You (You #1),19.19,5,True
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",19.19,4,True
Wild Swans,19.19,2,True
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,19.19,4,True
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,True
What's It Like in Space?: Stories from Astronauts Who've Been There,38.2,2,True
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",38.2,1,True
Walt Disney's Alice in Wonderland,38.2,5,True
V for Vendetta (V for Vendetta Complete),38.2,4,True
Until Friday Night (The Field Party #1),38.2,2,True
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",38.2,2,True
Twenty Yawns,38.2,2,True
Through the Woods,38.2,2,True
This Is Where It Ends,38.2,2,True
The Year of Magical Thinking,38.2,2,True
The Wright Brothers,38.2,4,True
The White Queen (The Cousins' War #1),38.2,5,True
The Wedding Pact (The O'Malleys #2),38.2,3,True
The Time Keeper,38.2,5,True
The Testament of Mary,38.2,4,True
The Star-Touched Queen,38.2,5,True
The Songs of the Gods,38.2,5,True
The Song of Achilles,38.2,5,True
The Rosie Project (Don Tillman #1),38.2,1,True
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,True
The Marriage of Opposites,16.88,4,True
The Lucifer Effect: Understanding How Good People Turn Evil,16.88,1,True
The Long Haul (Diary of a Wimpy Kid #9),16.88,1,True
The Loney,16.88,1,True
The Literature Book (Big Ideas Simply Explained),16.88,3,True
The Last Mile (Amos Decker #2),16.88,2,True
The Immortal Life of Henrietta Lacks,16.88,2,True
The Hidden Oracle (The Trials of Apollo #1),16.88,2,True
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,16.88,3,True
The Guilty (Will Robie #4),16.88,2,True
The First Hostage (J.B. Collins #2),16.88,3,True
The Dovekeepers,16.88,1,True
The Darkest Lie,16.88,5,True
The Bane Chronicles (The Bane Chronicles #1-11),16.88,4,True
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,16.88,1,True
The 14th Colony (Cotton Malone #11),16.88,1,True
That Darkness (Gardiner and Renner #1),16.88,1,True
Tastes Like Fear (DI Marnie Rome #3),16.88,1,True
Take Me with You,16.88,3,True
Swell: A Year of Waves,45.58,1,True
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),45.58,5,True
Still Life with Bread Crumbs,45.58,3,True
Steve Jobs,45.58,5,True
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,45.58,4,True
Someone Like You (The Harrisons #2),45.58,5,True
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",45.58,4,True
Shtum,45.58,4,True
See America: A Celebration of Our National Parks & Treasured Sites,45.58,3,True
salt.,45.58,4,True
Robin War,45.58,3,True
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",45.58,2,True
Rain Fish,45.58,3,True
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",45.58,5,True
Pet Sematary,45.58,3,True
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",45.58,3,True
Once Was a Time,45.58,2,True
Old School (Diary of a Wimpy Kid #10),45.58,5,True
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,45.58,2,True
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",45.58,2,True
My Name Is Lucy Barton,41.56,1,True
My Mrs. Brown,41.56,3,True
My Kind of Crazy,41.56,1,True
Mr. Mercedes (Bill Hodges Trilogy #1),41.56,1,True
More Than Music (Chasing the Dream #1),41.56,2,True
Made to Stick: Why Some Ideas Survive and Others Die,41.56,5,True
Luis Paints the World,41.56,3,True
Luckiest Girl Alive,41.56,3,True
Lowriders to the Center of the Earth (Lowriders in Space #2),41.56,2,True
Love Is a Mix Tape (Music #1),41.56,1,True
Looking for Lovely: Collecting the Moments that Matter,41.56,5,True
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",41.56,4,True
Let It Out: A Journey Through Journaling,41.56,5,True
Lady Midnight (The Dark Artifices #1),41.56,5,True
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",41.56,1,True
Island of Dragons (Unwanteds #7),41.56,1,True
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,41.56,4,True
I Am Pilgrim (Pilgrim #1),41.56,4,True
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",41.56,5,True
"Hush, Hush (Hush, Hush #1)",41.56,3,True
Hold Your Breath (Search and Rescue #1),28.82,1,True
Hamilton: The Revolution,28.82,3,True
Greek Mythic History,28.82,5,True
God: The Most Unpleasant Character in All Fiction,28.82,5,True
Glory over Everything: Beyond The Kitchen House,28.82,3,True
Feathers: Displays of Brilliant Plumage,28.82,3,True
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",28.82,4,True
Every Last Word,28.82,3,True
Eligible (The Austen Project #4),28.82,3,True
El Deafo,28.82,5,True
Eight Hundred Grapes,28.82,4,True
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",28.82,5,True
"Eat Fat, Get Thin",28.82,2,True
Don't Get Caught,28.82,1,True
Doctor Sleep (The Shining #2),28.82,2,True
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),28.82,5,True
Dear Mr. Knightley,28.82,5,True
Daily Fantasy Sports,28.82,1,True
Crazy Love: Overwhelmed by a Relentless God,28.82,2,True
Cometh the Hour (The Clifton Chronicles #6),28.82,3,True
Code Name Verity (Code Name Verity #1),22.13,4,True
Clockwork Angel (The Infernal Devices #1),22.13,1,True
City of Glass (The Mortal Instruments #3),22.13,4,True
City of Fallen Angels (The Mortal Instruments #4),22.13,4,True
City of Bones (The Mortal Instruments #1),22.13,1,True
City of Ashes (The Mortal Instruments #2),22.13,1,True
Cell,22.13,4,True
Catching Jordan (Hundred Oaks),22.13,3,True
"Carry On, Warrior: Thoughts on Life Unarmed",22.13,3,True
Carrie,22.13,2,True
Buying In: The Secret Dialogue Between What We Buy and Who We Are,22.13,4,True
Brain on Fire: My Month of Madness,22.13,5,True
Batman: Europa,22.13,2,True
Barefoot Contessa Back to Basics,22.13,1,True
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,22.13,5,True
Balloon Animals,22.13,3,True
Art Ops Vol. 1,22.13,3,True
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),22.13,4,True
Angels Walking (Angels Walking #1),22.13,2,True
Angels & Demons (Robert Langdon #1),22.13,3,True
All the Light We Cannot See,29.87,5,True
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",29.87,2,True
Abstract City,29.87,5,True
A Time of Torment (Charlie Parker #14),29.87,5,True
A Study in Scarlet (Sherlock Holmes #1),29.87,2,True
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",29.87,2,True
A People's History of the United States,29.87,2,True
A Man Called Ove,29.87,1,True
A Distant Mirror: The Calamitous 14th Century,29.87,3,True
A Brush of Wings (Angels Walking #3),29.87,1,True
1491: New Revelations of the Americas Before Columbus,29.87,3,True
"The Three Searches, Meaning, and the Story",29.87,3,True
Searching for Meaning in Gailana,29.87,1,True
Rook,29.87,4,True
My Kitchen Year: 136 Recipes That Saved My Life,29.87,2,True
13 Hours: The Inside Account of What Really Happened In Benghazi,29.87,1,True
Will You Won't You Want Me?,29.87,3,True
Tipping Point for Planet Earth: How Close Are We to the Edge?,29.87,1,True
The Star-Touched Queen,29.87,5,True
The Silent Sister (Riley MacPherson #1),29.87,5,True
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,True
The Lonely City: Adventures in the Art of Being Alone,26.2,2,True
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,26.2,4,True
The Golden Condom: And Other Essays on Love Lost and Found,26.2,1,True
The Epidemic (The Program 0.6),26.2,5,True
The Dinner Party,26.2,2,True
The Diary of a Young Girl,26.2,3,True
The Children,26.2,3,True
Stars Above (The Lunar Chronicles #4.5),26.2,2,True
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,26.2,3,True
Raspberry Pi Electronics Projects for the Evil Genius,26.2,4,True
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,26.2,1,True
Psycho: Sanitarium (Psycho #1.5),26.2,5,True
Poisonous (Max Revere Novels #3),26.2,3,True
One with You (Crossfire #5),26.2,4,True
No Love Allowed (Dodge Cove #1),26.2,4,True
Murder at the 42nd Street Library (Raymond Ambler #1),26.2,4,True
Most Wanted,26.2,3,True
"Love, Lies and Spies",26.2,2,True
How to Speak Golf: An Illustrated Guide to Links Lingo,26.2,5,True
Hide Away (Eve Duncan #20),11.84,1,True
Furiously Happy: A Funny Book About Horrible Things,11.84,4,True
Everyday Italian: 125 Simple and Delicious Recipes,11.84,5,True
Equal Is Unfair: America's Misguided Fight Against Income Inequality,11.84,1,True
Eleanor & Park,11.84,5,True
Dirty (Dive Bar #1),11.84,4,True
Can You Keep a Secret? (Fear Street Relaunch #4),11.84,1,True
Boar Island (Anna Pigeon #19),11.84,3,True
A Paris Apartment,11.84,4,True
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",11.84,1,True
Troublemaker: Surviving Hollywood and Scientology,11.84,2,True
The Widow,11.84,2,True
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.84,4,True
The Improbability of Love,11.84,1,True
The Art of Startup Fundraising,11.84,3,True
Take Me Home Tonight (Rock Star Romance #3),11.84,3,True
Sleeping Giants (Themis Files #1),11.84,1,True
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",11.84,2,True
Playing with Fire,11.84,3,True
Off the Hook (Fishing for Trouble #1),11.84,3,True
Mothering Sunday,13.34,2,True
"Mother, Can You Not?",13.34,5,True
M Train,13.34,1,True
Lilac Girls,13.34,2,True
Lies and Other Acts of Love,13.34,1,True
Lab Girl,13.34,1,True
Keep Me Posted,13.34,4,True
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,13.34,3,True
Grey (Fifty Shades #4),13.34,4,True
"Exit, Pursued by a Bear",13.34,4,True
Daredevils,13.34,3,True
Cravings: Recipes for What You Want to Eat,13.34,3,True
Born for This: How to Find the Work You Were Meant to Do,13.34,5,True
Arena,13.34,4,True
Adultery,13.34,5,True
A Mother's Reckoning: Living in the Aftermath of Tragedy,13.34,3,True
A Gentleman's Position (Society of Gentlemen #3),13.34,5,True
11/22/63,13.34,3,True
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",13.34,2,True
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,13.34,5,True
Without Shame,48.27,5,True
Watchmen,48.27,4,True
Unlimited Intuition Now,48.27,4,True
Underlying Notes,48.27,2,True
The Shack,48.27,1,True
The New Brand You: Your New Image Makes the Sale for You,48.27,5,True
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",48.27,4,True
The Flowers Lied,48.27,2,True
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",48.27,1,True
The Book of Mormon,48.27,3,True
The Art and Science of Low Carbohydrate Living,48.27,5,True
The Alien Club,48.27,1,True
Suzie Snowflake: One beautiful flake (a self-esteem story),48.27,5,True
Nap-a-Roo,48.27,1,True
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",48.27,4,True
Modern Day Fables,48.27,2,True
If I Gave You God's Phone Number....: Searching for Spirituality in America,48.27,1,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",48.27,4,True
Dress Your Family in Corduroy and Denim,48.27,3,True
Don't Forget Steven,48.27,1,True
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,True
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,35.92,4,True
A Shard of Ice (The Black Symphony Saga #1),35.92,3,True
A Hero's Curse (The Unseen Chronicles #1),35.92,3,True
23 Degrees South: A Tropical Tale of Changing Whether...,35.92,2,True
"Zero to One: Notes on Startups, or How to Build the Future",35.92,3,True
Why Not Me?,35.92,1,True
When Breath Becomes Air,35.92,2,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,35.92,2,True
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),35.92,5,True
The New Drawing on the Right Side of the Brain,35.92,3,True
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",35.92,4,True
The Martian (The Martian #1),35.92,2,True
The High Mountains of Portugal,35.92,1,True
The Grownup,35.92,1,True
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,35.92,1,True
South of Sunshine,35.92,1,True
Smarter Faster Better: The Secrets of Being Productive in Life and Business,35.92,5,True
Silence in the Dark (Logan Point #4),35.92,3,True
Shadows of the Past (Logan Point #1),35.92,5,True
Roller Girl,14.1,5,True
Rising Strong,14.1,3,True
Proofs of God: Classical Arguments from Tertullian to Barth,14.1,1,True
Please Kill Me: The Uncensored Oral History of Punk,14.1,4,True
Out of Print: City Lights Spotlight No. 14,14.1,5,True
My Life Next Door (My Life Next Door ),14.1,5,True
Miller's Valley,14.1,2,True
Man's Search for Meaning,14.1,3,True
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",14.1,2,True
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,14.1,3,True
Les Fleurs du Mal,14.1,5,True
Left Behind (Left Behind #1),14.1,2,True
Kill 'Em and Leave: Searching for James Brown and the American Soul,14.1,5,True
Kierkegaard: A Christian Missionary to Christians,14.1,1,True
John Vassos: Industrial Design for Modern Life,14.1,4,True
I'll Give You the Sun,14.1,1,True
I Will Find You,14.1,1,True
Hystopia: A Novel,14.1,4,True
Howl and Other Poems,14.1,2,True
History of Beauty,14.1,4,True
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,True
Future Shock (Future Shock #1),52.86,5,True
Ender's Game (The Ender Quintet #1),52.86,1,True
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,52.86,1,True
Death by Leisure: A Cautionary Tale,52.86,4,True
Brilliant Beacons: A History of the American Lighthouse,52.86,3,True
Brazen: The Courage to Find the You That's Been Hiding,52.86,2,True
Between the World and Me,52.86,4,True
Being Mortal: Medicine and What Matters in the End,52.86,4,True
"A Murder Over a Girl: Justice, Gender, Junior High",52.86,3,True
32 Yolks,52.86,2,True
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",52.86,5,True
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,52.86,3,True
